seed,experiment,name,algorithm,partition_shape,partition_dir,site,split,patients,images,patients_HRposHER2neg,patients_TripleNeg,patients_HER2pos,cohorts,pct_patients,pct_images
19,test02_s19,test02_fedavg_2h_s19,fedavg,2_clients_balanced,2_clients_balanced_s19,hospital_1,train,612,4854,310,164,138,"{""spy2"": 402, ""duke"": 312, ""spy1"": 50}",40.08,40.01
19,test02_s19,test02_fedavg_2h_s19,fedavg,2_clients_balanced,2_clients_balanced_s19,hospital_1,val,152,1207,77,41,34,"{""spy2"": 402, ""duke"": 312, ""spy1"": 50}",9.95,9.95
19,test02_s19,test02_fedavg_2h_s19,fedavg,2_clients_balanced,2_clients_balanced_s19,hospital_2,train,611,4863,309,164,138,"{""spy2"": 382, ""duke"": 330, ""spy1"": 51}",40.01,40.09
19,test02_s19,test02_fedavg_2h_s19,fedavg,2_clients_balanced,2_clients_balanced_s19,hospital_2,val,152,1207,77,41,34,"{""spy2"": 382, ""duke"": 330, ""spy1"": 51}",9.95,9.95
19,test03_s19,test03_fedprox_2h_s19,fedprox,2_clients_balanced,2_clients_balanced_s19,hospital_1,train,612,4854,310,164,138,"{""spy2"": 402, ""duke"": 312, ""spy1"": 50}",40.08,40.01
19,test03_s19,test03_fedprox_2h_s19,fedprox,2_clients_balanced,2_clients_balanced_s19,hospital_1,val,152,1207,77,41,34,"{""spy2"": 402, ""duke"": 312, ""spy1"": 50}",9.95,9.95
19,test03_s19,test03_fedprox_2h_s19,fedprox,2_clients_balanced,2_clients_balanced_s19,hospital_2,train,611,4863,309,164,138,"{""spy2"": 382, ""duke"": 330, ""spy1"": 51}",40.01,40.09
19,test03_s19,test03_fedprox_2h_s19,fedprox,2_clients_balanced,2_clients_balanced_s19,hospital_2,val,152,1207,77,41,34,"{""spy2"": 382, ""duke"": 330, ""spy1"": 51}",9.95,9.95
19,test04_s19,test04_fedavg_3h_s19,fedavg,3_clients_balanced,3_clients_balanced_s19,hospital_1,train,408,3237,206,110,92,"{""spy2"": 273, ""duke"": 199, ""spy1"": 38}",26.72,26.68
19,test04_s19,test04_fedavg_3h_s19,fedavg,3_clients_balanced,3_clients_balanced_s19,hospital_1,val,102,803,52,27,23,"{""spy2"": 273, ""duke"": 199, ""spy1"": 38}",6.68,6.62
19,test04_s19,test04_fedavg_3h_s19,fedavg,3_clients_balanced,3_clients_balanced_s19,hospital_2,train,408,3245,206,110,92,"{""spy2"": 263, ""duke"": 219, ""spy1"": 28}",26.72,26.75
19,test04_s19,test04_fedavg_3h_s19,fedavg,3_clients_balanced,3_clients_balanced_s19,hospital_2,val,102,816,52,27,23,"{""spy2"": 263, ""duke"": 219, ""spy1"": 28}",6.68,6.73
19,test04_s19,test04_fedavg_3h_s19,fedavg,3_clients_balanced,3_clients_balanced_s19,hospital_3,train,406,3228,206,109,91,"{""spy2"": 248, ""duke"": 224, ""spy1"": 35}",26.59,26.61
19,test04_s19,test04_fedavg_3h_s19,fedavg,3_clients_balanced,3_clients_balanced_s19,hospital_3,val,101,802,51,27,23,"{""spy2"": 248, ""duke"": 224, ""spy1"": 35}",6.61,6.61
19,test05_s19,test05_fedprox_3h_s19,fedprox,3_clients_balanced,3_clients_balanced_s19,hospital_1,train,408,3237,206,110,92,"{""spy2"": 273, ""duke"": 199, ""spy1"": 38}",26.72,26.68
19,test05_s19,test05_fedprox_3h_s19,fedprox,3_clients_balanced,3_clients_balanced_s19,hospital_1,val,102,803,52,27,23,"{""spy2"": 273, ""duke"": 199, ""spy1"": 38}",6.68,6.62
19,test05_s19,test05_fedprox_3h_s19,fedprox,3_clients_balanced,3_clients_balanced_s19,hospital_2,train,408,3245,206,110,92,"{""spy2"": 263, ""duke"": 219, ""spy1"": 28}",26.72,26.75
19,test05_s19,test05_fedprox_3h_s19,fedprox,3_clients_balanced,3_clients_balanced_s19,hospital_2,val,102,816,52,27,23,"{""spy2"": 263, ""duke"": 219, ""spy1"": 28}",6.68,6.73
19,test05_s19,test05_fedprox_3h_s19,fedprox,3_clients_balanced,3_clients_balanced_s19,hospital_3,train,406,3228,206,109,91,"{""spy2"": 248, ""duke"": 224, ""spy1"": 35}",26.59,26.61
19,test05_s19,test05_fedprox_3h_s19,fedprox,3_clients_balanced,3_clients_balanced_s19,hospital_3,val,101,802,51,27,23,"{""spy2"": 248, ""duke"": 224, ""spy1"": 35}",6.61,6.61
19,test06_s19,test06_fedavg_4h_s19,fedavg,4_clients_balanced,4_clients_balanced_s19,hospital_1,train,306,2430,155,82,69,"{""spy2"": 203, ""duke"": 152, ""spy1"": 28}",20.04,20.03
19,test06_s19,test06_fedavg_4h_s19,fedavg,4_clients_balanced,4_clients_balanced_s19,hospital_1,val,77,610,39,21,17,"{""spy2"": 203, ""duke"": 152, ""spy1"": 28}",5.04,5.03
19,test06_s19,test06_fedavg_4h_s19,fedavg,4_clients_balanced,4_clients_balanced_s19,hospital_2,train,305,2432,154,82,69,"{""spy2"": 200, ""duke"": 160, ""spy1"": 22}",19.97,20.05
19,test06_s19,test06_fedavg_4h_s19,fedavg,4_clients_balanced,4_clients_balanced_s19,hospital_2,val,77,597,39,21,17,"{""spy2"": 200, ""duke"": 160, ""spy1"": 22}",5.04,4.92
19,test06_s19,test06_fedavg_4h_s19,fedavg,4_clients_balanced,4_clients_balanced_s19,hospital_3,train,305,2426,154,82,69,"{""spy2"": 192, ""duke"": 159, ""spy1"": 30}",19.97,20.0
19,test06_s19,test06_fedavg_4h_s19,fedavg,4_clients_balanced,4_clients_balanced_s19,hospital_3,val,76,605,39,20,17,"{""spy2"": 192, ""duke"": 159, ""spy1"": 30}",4.98,4.99
19,test06_s19,test06_fedavg_4h_s19,fedavg,4_clients_balanced,4_clients_balanced_s19,hospital_4,train,305,2430,154,82,69,"{""spy2"": 189, ""duke"": 171, ""spy1"": 21}",19.97,20.03
19,test06_s19,test06_fedavg_4h_s19,fedavg,4_clients_balanced,4_clients_balanced_s19,hospital_4,val,76,601,39,20,17,"{""spy2"": 189, ""duke"": 171, ""spy1"": 21}",4.98,4.95
19,test07_s19,test07_fedprox_4h_s19,fedprox,4_clients_balanced,4_clients_balanced_s19,hospital_1,train,306,2430,155,82,69,"{""spy2"": 203, ""duke"": 152, ""spy1"": 28}",20.04,20.03
19,test07_s19,test07_fedprox_4h_s19,fedprox,4_clients_balanced,4_clients_balanced_s19,hospital_1,val,77,610,39,21,17,"{""spy2"": 203, ""duke"": 152, ""spy1"": 28}",5.04,5.03
19,test07_s19,test07_fedprox_4h_s19,fedprox,4_clients_balanced,4_clients_balanced_s19,hospital_2,train,305,2432,154,82,69,"{""spy2"": 200, ""duke"": 160, ""spy1"": 22}",19.97,20.05
19,test07_s19,test07_fedprox_4h_s19,fedprox,4_clients_balanced,4_clients_balanced_s19,hospital_2,val,77,597,39,21,17,"{""spy2"": 200, ""duke"": 160, ""spy1"": 22}",5.04,4.92
19,test07_s19,test07_fedprox_4h_s19,fedprox,4_clients_balanced,4_clients_balanced_s19,hospital_3,train,305,2426,154,82,69,"{""spy2"": 192, ""duke"": 159, ""spy1"": 30}",19.97,20.0
19,test07_s19,test07_fedprox_4h_s19,fedprox,4_clients_balanced,4_clients_balanced_s19,hospital_3,val,76,605,39,20,17,"{""spy2"": 192, ""duke"": 159, ""spy1"": 30}",4.98,4.99
19,test07_s19,test07_fedprox_4h_s19,fedprox,4_clients_balanced,4_clients_balanced_s19,hospital_4,train,305,2430,154,82,69,"{""spy2"": 189, ""duke"": 171, ""spy1"": 21}",19.97,20.03
19,test07_s19,test07_fedprox_4h_s19,fedprox,4_clients_balanced,4_clients_balanced_s19,hospital_4,val,76,601,39,20,17,"{""spy2"": 189, ""duke"": 171, ""spy1"": 21}",4.98,4.95
19,test08_s19,test08_fedavg_skewed_s19,fedavg,4_clients_skewed,4_clients_skewed_s19,hospital_1,train,678,5386,343,182,153,"{""spy2"": 444, ""duke"": 348, ""spy1"": 56}",44.4,44.4
19,test08_s19,test08_fedavg_skewed_s19,fedavg,4_clients_skewed,4_clients_skewed_s19,hospital_1,val,170,1341,86,46,38,"{""spy2"": 444, ""duke"": 348, ""spy1"": 56}",11.13,11.05
