experiment,name,algorithm,partition,site,status,detail,n_train_patients,n_train_images,n_val_patients,n_val_images,val_patients_HRposHER2neg,val_patients_TripleNeg,val_patients_HER2pos,trivial_baseline,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,macro_auc,auc_HRposHER2neg,auc_TripleNeg,auc_HER2pos,precision_HRposHER2neg,precision_TripleNeg,precision_HER2pos,recall_HRposHER2neg,recall_TripleNeg,recall_HER2pos,f1_HRposHER2neg,f1_TripleNeg,f1_HER2pos,confusion
test06,test06_fedavg_4h,fedavg,4_clients_balanced,hospital_3,ok,,305,2426,76,608,39,20,17,0.5132,0.5395,0.4515,0.4711,0.4515,0.4521,0.7026,0.7166,0.6705,0.7208,0.6122,0.4375,0.3636,0.7692,0.35,0.2353,0.6818,0.3889,0.2857,"[[30, 4, 5], [11, 7, 2], [8, 5, 4]]"
test06,test06_fedavg_4h,fedavg,4_clients_balanced,hospital_4,ok,,305,2399,76,606,39,20,17,0.5132,0.4868,0.4254,0.4297,0.4254,0.4255,0.5992,0.5606,0.6518,0.5852,0.5814,0.4,0.3077,0.641,0.4,0.2353,0.6098,0.4,0.2667,"[[25, 7, 7], [10, 8, 2], [8, 5, 4]]"
test07,test07_fedprox_4h,fedprox,4_clients_balanced,hospital_1,ok,,306,2439,77,614,39,21,17,0.5065,0.4805,0.4412,0.4415,0.4412,0.4398,0.6433,0.6242,0.7185,0.5873,0.6389,0.4,0.2857,0.5897,0.381,0.3529,0.6133,0.3902,0.3158,"[[23, 5, 11], [9, 8, 4], [4, 7, 6]]"
test07,test07_fedprox_4h,fedprox,4_clients_balanced,hospital_2,ok,,305,2423,77,616,39,21,17,0.5065,0.4416,0.3972,0.3977,0.3972,0.3971,0.5838,0.6181,0.5587,0.5745,0.5946,0.3043,0.2941,0.5641,0.3333,0.2941,0.5789,0.3182,0.2941,"[[22, 11, 6], [8, 7, 6], [7, 5, 5]]"
test07,test07_fedprox_4h,fedprox,4_clients_balanced,hospital_3,ok,,305,2426,76,608,39,20,17,0.5132,0.4737,0.3837,0.3641,0.3837,0.3726,0.6338,0.6625,0.6348,0.6042,0.6279,0.381,0.0833,0.6923,0.4,0.0588,0.6585,0.3902,0.069,"[[27, 5, 7], [8, 8, 4], [8, 8, 1]]"
test07,test07_fedprox_4h,fedprox,4_clients_balanced,hospital_4,ok,,305,2399,76,606,39,20,17,0.5132,0.4211,0.3967,0.3965,0.3967,0.3943,0.5785,0.5184,0.6437,0.5733,0.5278,0.3889,0.2727,0.4872,0.35,0.3529,0.5067,0.3684,0.3077,"[[19, 7, 13], [10, 7, 3], [7, 4, 6]]"
test08,test08_fedavg_skewed,fedavg,4_clients_skewed,hospital_1,ok,,678,5395,170,1358,86,46,38,0.5059,0.5118,0.472,0.4674,0.472,0.4682,0.6383,0.6525,0.6602,0.6021,0.6341,0.4444,0.3235,0.6047,0.5217,0.2895,0.619,0.48,0.3056,"[[52, 20, 14], [13, 24, 9], [17, 10, 11]]"
test08,test08_fedavg_skewed,fedavg,4_clients_skewed,hospital_2,ok,,273,2171,67,534,34,18,15,0.5075,0.5373,0.5196,0.5066,0.5196,0.5062,0.7527,0.7077,0.7619,0.7885,0.6552,0.48,0.3846,0.5588,0.6667,0.3333,0.6032,0.5581,0.3571,"[[19, 10, 5], [3, 12, 3], [7, 3, 5]]"
test08,test08_fedavg_skewed,fedavg,4_clients_skewed,hospital_3,ok,,136,1073,34,266,17,9,8,0.5,0.4412,0.4126,0.4327,0.4126,0.4159,0.5225,0.564,0.4267,0.5769,0.6923,0.2308,0.375,0.5294,0.3333,0.375,0.6,0.2727,0.375,"[[9, 6, 2], [3, 3, 3], [1, 4, 3]]"
test08,test08_fedavg_skewed,fedavg,4_clients_skewed,hospital_4,ok,,135,1066,34,268,17,9,8,0.5,0.5882,0.5583,0.5443,0.5583,0.5502,0.6698,0.6713,0.8044,0.5337,0.6471,0.7,0.2857,0.6471,0.7778,0.25,0.6471,0.7368,0.2667,"[[11, 1, 5], [2, 7, 0], [4, 2, 2]]"
test09,test09_fedprox_skewed,fedprox,4_clients_skewed,hospital_1,ok,,678,5395,170,1358,86,46,38,0.5059,0.5118,0.4569,0.4561,0.4569,0.4564,0.6333,0.6521,0.6662,0.5815,0.6437,0.4468,0.2778,0.6512,0.4565,0.2632,0.6474,0.4516,0.2703,"[[56, 15, 15], [14, 21, 11], [17, 11, 10]]"
test09,test09_fedprox_skewed,fedprox,4_clients_skewed,hospital_2,ok,,273,2171,67,534,34,18,15,0.5075,0.597,0.5588,0.5496,0.5588,0.5514,0.7496,0.738,0.7789,0.7321,0.7188,0.5455,0.3846,0.6765,0.6667,0.3333,0.697,0.6,0.3571,"[[23, 6, 5], [3, 12, 3], [6, 4, 5]]"
test09,test09_fedprox_skewed,fedprox,4_clients_skewed,hospital_3,ok,,136,1073,34,266,17,9,8,0.5,0.4706,0.4276,0.4306,0.4276,0.4242,0.5643,0.5813,0.5156,0.5962,0.625,0.3333,0.3333,0.5882,0.4444,0.25,0.6061,0.381,0.2857,"[[10, 5, 2], [3, 4, 2], [3, 3, 2]]"
test09,test09_fedprox_skewed,fedprox,4_clients_skewed,hospital_4,ok,,135,1066,34,268,17,9,8,0.5,0.5,0.46,0.45,0.46,0.4542,0.6252,0.6055,0.8133,0.4567,0.625,0.6,0.125,0.5882,0.6667,0.125,0.6061,0.6316,0.125,"[[10, 1, 6], [2, 6, 1], [4, 3, 1]]"
test10,test10_fedavg_cohort,fedavg,3_clients_cohort,hospital_1,ok,,514,4067,128,1007,85,20,23,0.6641,0.4531,0.4183,0.4283,0.4183,0.3875,0.6168,0.612,0.5593,0.6791,0.75,0.1818,0.3529,0.4941,0.5,0.2609,0.5957,0.2667,0.3,"[[42, 35, 8], [7, 10, 3], [7, 10, 6]]"
test10,test10_fedavg_cohort,fedavg,3_clients_cohort,hospital_2,ok,,82,652,19,152,8,5,6,0.4211,0.3684,0.3167,0.2205,0.3167,0.2571,0.4837,0.625,0.4286,0.3974,0.4615,0.2,0.0,0.75,0.2,0.0,0.5714,0.2,0.0,"[[6, 2, 0], [3, 1, 1], [4, 2, 0]]"
test10,test10_fedavg_cohort,fedavg,3_clients_cohort,hospital_3,ok,,627,5005,157,1248,61,56,40,0.3885,0.4522,0.4255,0.4444,0.4255,0.4214,0.5802,0.5458,0.6054,0.5895,0.4419,0.5,0.3913,0.623,0.4286,0.225,0.517,0.4615,0.2857,"[[38, 14, 9], [27, 24, 5], [21, 10, 9]]"
test12,test12_fedavg_sizematched,fedavg,3_clients_sizematched,hospital_1,ok,,514,4096,128,1020,65,34,29,0.5078,0.4297,0.3955,0.3982,0.3955,0.3938,0.6343,0.6911,0.6367,0.5751,0.6296,0.3077,0.2571,0.5231,0.3529,0.3103,0.5714,0.3288,0.2812,"[[34, 16, 15], [11, 12, 11], [9, 11, 9]]"
test12,test12_fedavg_sizematched,fedavg,3_clients_sizematched,hospital_2,ok,,81,640,20,160,10,5,5,0.5,0.65,0.6667,0.6444,0.6667,0.653,0.7422,0.68,0.8,0.7467,0.6667,0.6667,0.6,0.6,0.8,0.6,0.6316,0.7273,0.6,"[[6, 2, 2], [1, 4, 0], [2, 0, 3]]"
test12,test12_fedavg_sizematched,fedavg,3_clients_sizematched,hospital_3,ok,,628,4976,156,1239,79,42,35,0.5064,0.4359,0.4047,0.4032,0.4047,0.4023,0.5908,0.5981,0.6122,0.5622,0.5942,0.3404,0.275,0.519,0.381,0.3143,0.5541,0.3596,0.2933,"[[41, 21, 17], [14, 16, 12], [14, 10, 11]]"
test11,test11_fedprox_cohort,fedprox,3_clients_cohort,hospital_1,ok,,514,4067,128,1007,85,20,23,0.6641,0.4375,0.389,0.3769,0.389,0.3637,0.6051,0.614,0.5574,0.6439,0.7193,0.1613,0.25,0.4824,0.25,0.4348,0.5775,0.1961,0.3175,"[[41, 21, 23], [8, 5, 7], [8, 5, 10]]"
test11,test11_fedprox_cohort,fedprox,3_clients_cohort,hospital_2,ok,,82,652,19,152,8,5,6,0.4211,0.5263,0.4972,0.4868,0.4972,0.4845,0.6274,0.7386,0.4,0.7436,0.5556,0.3333,0.5714,0.625,0.2,0.6667,0.5882,0.25,0.6154,"[[5, 2, 1], [2, 1, 2], [2, 0, 4]]"
test11,test11_fedprox_cohort,fedprox,3_clients_cohort,hospital_3,ok,,627,5005,157,1248,61,56,40,0.3885,0.4076,0.3834,0.3904,0.3834,0.3728,0.5841,0.554,0.616,0.5823,0.4286,0.4211,0.3214,0.6393,0.2857,0.225,0.5132,0.3404,0.2647,"[[39, 12, 10], [31, 16, 9], [21, 10, 9]]"
test13,test13_fedprox_sizematched,fedprox,3_clients_sizematched,hospital_1,ok,,514,4096,128,1020,65,34,29,0.5078,0.4922,0.4412,0.4412,0.4412,0.4411,0.6143,0.6642,0.618,0.5608,0.6308,0.3714,0.3214,0.6308,0.3824,0.3103,0.6308,0.3768,0.3158,"[[41, 13, 11], [13, 13, 8], [11, 9, 9]]"
test13,test13_fedprox_sizematched,fedprox,3_clients_sizematched,hospital_2,ok,,81,640,20,160,10,5,5,0.5,0.75,0.7333,0.7389,0.7333,0.7313,0.7778,0.8,0.8267,0.7067,0.8,0.6667,0.75,0.8,0.8,0.6,0.8,0.7273,0.6667,"[[8, 1, 1], [1, 4, 0], [1, 1, 3]]"
test13,test13_fedprox_sizematched,fedprox,3_clients_sizematched,hospital_3,ok,,628,4976,156,1239,79,42,35,0.5064,0.4167,0.3417,0.3368,0.3417,0.3377,0.5995,0.6332,0.595,0.5702,0.5568,0.2683,0.1852,0.6203,0.2619,0.1429,0.5868,0.2651,0.1613,"[[49, 18, 12], [21, 11, 10], [18, 12, 5]]"
